 set_id | pmt_no | pmt_id |  type  |    x_mm     |    y_mm     | size_mm | rotation_rad | pmt_array  
      1 |    123 |  21704 | R8520  |  144.654316 | -349.226472 |    25.4 |     3.534292 | BottomVeto
      1 |    124 |  21705 | R8520  |    49.33888 |  -374.76616 |    25.4 |     3.272492 | BottomVeto
      1 |    125 |  21706 | R8520  |   -49.33892 | -374.766155 |    25.4 |     3.010693 | BottomVeto
      1 |    126 |  21707 | R8520  | -144.654354 | -349.226457 |    25.4 |     2.748894 | BottomVeto
      1 |    127 |  21800 | R8520  | -230.111833 | -299.887553 |    25.4 |     2.487094 | BottomVeto
      1 |    128 |  21801 | R8520  | -299.887571 | -230.111809 |    25.4 |     2.225295 | BottomVeto
      1 |    129 |  21802 | R8520  | -349.226468 | -144.654326 |    25.4 |     1.963495 | BottomVeto
      1 |    130 |  21803 | R8520  | -374.766159 |   -49.33889 |    25.4 |     1.701696 | BottomVeto
      1 |    131 |  21804 | R8520  | -374.766156 |    49.33891 |    25.4 |     1.439897 | BottomVeto
      1 |    132 |  21805 | R8520  |  -349.22646 |  144.654344 |    25.4 |     1.178097 | BottomVeto
      1 |    133 |  21806 | R8520  | -299.887559 |  230.111825 |    25.4 |     0.916298 | BottomVeto
      1 |    134 |  21807 | R8520  | -230.111817 |  299.887565 |    25.4 |     0.654498 | BottomVeto
      1 |    135 |  21900 | R8520  | -299.887571 | -230.111809 |    25.4 |     2.225295 | TopVeto
      1 |    136 |  21901 | R8520  | -349.226468 | -144.654326 |    25.4 |     1.963495 | TopVeto
      1 |    137 |  21902 | R8520  | -374.766159 |   -49.33889 |    25.4 |     1.701696 | TopVeto
      1 |    138 |  21903 | R8520  | -374.766156 |    49.33891 |    25.4 |     1.439897 | TopVeto
      1 |    139 |  21904 | R8520  |  -349.22646 |  144.654344 |    25.4 |     1.178097 | TopVeto
      1 |    140 |  21905 | R8520  | -299.887559 |  230.111825 |    25.4 |     0.916298 | TopVeto
      1 |    141 |  21906 | R8520  | -230.111817 |  299.887565 |    25.4 |     0.654498 | TopVeto
      1 |    142 |  21907 | R8520  | -144.654335 |  349.226464 |    25.4 |     0.392699 | TopVeto
      1 |    143 |  22000 | R8520  |    -49.3389 |  374.766158 |    25.4 |       0.1309 | TopVeto
      1 |    144 |  22001 | R8520  |    49.33894 |  374.766152 |    25.4 |     6.152286 | TopVeto
      1 |    145 |  22002 | R8520  |  144.654373 |  349.226449 |    25.4 |     5.890486 | TopVeto
      1 |    146 |  22003 | R8520  |  230.111849 |  299.887541 |    25.4 |     5.628687 | TopVeto
      1 |    147 |  22004 | R8520  |  299.887584 |  230.111793 |    25.4 |     5.366887 | TopVeto
      1 |    148 |  22005 | R8520  |  349.226476 |  144.654307 |    25.4 |     5.105088 | TopVeto
      1 |    149 |  22006 | R8520  |  374.766162 |    49.33887 |    25.4 |     4.843289 | TopVeto
      1 |    150 |  22007 | R8520  |  374.766154 |   -49.33893 |    25.4 |     4.581489 | TopVeto
      1 |    151 |  22100 | R8520  |  349.226453 | -144.654363 |    25.4 |      4.31969 | TopVeto
      1 |    152 |  22101 | R8520  |  299.887547 | -230.111841 |    25.4 |      4.05789 | TopVeto
      1 |    153 |  22102 | R8520  |  230.111801 | -299.887578 |    25.4 |     3.796091 | TopVeto
      1 |    154 |  22103 | R8520  |  144.654316 | -349.226472 |    25.4 |     3.534292 | TopVeto
      1 |    155 |  22104 | R8520  |    49.33888 |  -374.76616 |    25.4 |     3.272492 | TopVeto
      1 |    156 |  22105 | R8520  |   -49.33892 | -374.766155 |    25.4 |     3.010693 | TopVeto
      1 |    157 |  22106 | R8520  | -144.654354 | -349.226457 |    25.4 |     2.748894 | TopVeto
      1 |    158 |  22107 | R8520  | -230.111833 | -299.887553 |    25.4 |     2.487094 | TopVeto
